date,row_index,prediction,truth,error,ensemble_probability,w_old,w_medium,w_recent,drift_detected
2020-09-15,176,0,0,0,0.3124625020712614,0.3333,0.3333,0.3333,False
2020-09-16,177,0,0,0,0.39880207305550575,0.3333,0.3333,0.3333,False
2020-09-17,178,0,0,0,0.4494860457658768,0.3333,0.3333,0.3333,False
2020-09-18,179,1,0,1,0.8131980623960494,0.3333,0.3333,0.3333,False
2020-09-21,180,1,0,1,0.7454737133324146,0.3333,0.3333,0.3333,False
2020-09-22,181,1,1,0,0.8861554540693759,0.3333,0.3333,0.3333,False
2020-09-23,182,1,1,0,0.5972647034659981,0.3333,0.3333,0.3333,False
2020-09-24,183,1,1,0,0.5080917563974857,0.3333,0.3333,0.3333,False
2020-09-25,184,0,1,1,0.2814408604323864,0.3333,0.3333,0.3333,False
2020-09-28,185,0,1,1,0.3739787939161062,0.3333,0.3333,0.3333,False
2020-09-29,186,0,1,1,0.49629414717257025,0.3333,0.3333,0.3333,False
2020-09-30,187,0,1,1,0.48539718084856864,0.3333,0.3333,0.3333,False
2020-10-01,188,1,1,0,0.7122880533993243,0.3333,0.3333,0.3333,False
2020-10-05,189,1,1,0,0.5898030189637095,0.3333,0.3333,0.3333,False
2020-10-06,190,1,1,0,0.8579044459998607,0.3333,0.3333,0.3333,False
2020-10-07,191,1,1,0,0.5680655349612236,0.3333,0.3333,0.3333,False
2020-10-08,192,0,0,0,0.4588939861446619,0.3333,0.3333,0.3333,False
2020-10-09,193,1,0,1,0.5377005019605159,0.3333,0.3333,0.3333,False
2020-10-12,194,1,0,1,0.5337614808842539,0.3333,0.3333,0.3333,False
2020-10-13,195,1,0,1,0.7702266560912132,0.3333,0.3333,0.3333,False
2020-10-14,196,0,0,0,0.29034393290653826,0.3333,0.3333,0.3333,False
2020-10-15,197,1,1,0,0.7764955238342285,0.3333,0.3333,0.3333,False
2020-10-16,198,1,1,0,0.7535530500411987,0.3333,0.3333,0.3333,False
2020-10-19,199,1,0,1,0.7153776690602303,0.3333,0.3333,0.3333,False
2020-10-20,200,1,0,1,0.6260896220326424,0.3333,0.3333,0.3333,False
2020-10-21,201,1,0,1,0.7678414571464062,0.3333,0.3333,0.3333,False
2020-10-22,202,1,0,1,0.7244667266786098,0.3333,0.3333,0.3333,False
2020-10-23,203,1,0,1,0.677555628812313,0.3333,0.3333,0.3333,False
2020-10-26,204,1,0,1,0.8931198980569839,0.3333,0.3333,0.3333,False
2020-10-27,205,1,0,1,0.6528803630053996,0.3333,0.3333,0.3333,False
2020-10-28,206,1,1,0,0.6522356641709803,0.3333,0.3333,0.3333,False
2020-10-29,207,1,1,0,0.6160140174597502,0.3333,0.3333,0.3333,False
2020-10-30,208,1,1,0,0.7595258513867854,0.3333,0.3333,0.3333,False
2020-11-02,209,1,1,0,0.6245146175354719,0.3333,0.3333,0.3333,False
2020-11-03,210,0,1,1,0.49735736783444884,0.3333,0.3333,0.3333,False
2020-11-04,211,0,1,1,0.4640896653458476,0.3333,0.3333,0.3333,False
2020-11-05,212,0,1,1,0.4279058290332556,0.3333,0.3333,0.3333,False
2020-11-06,213,1,1,0,0.6641096689760685,0.3333,0.3333,0.3333,False
2020-11-09,214,1,1,0,0.7376678749859333,0.3333,0.3333,0.3333,False
2020-11-10,215,1,1,0,0.5168296436682344,0.3333,0.3333,0.3333,False
2020-11-11,216,1,1,0,0.5924990387052297,0.3333,0.3333,0.3333,False
2020-11-12,217,0,1,1,0.47129626375436784,0.3333,0.3333,0.3333,False
2020-11-13,218,0,1,1,0.21420385726019736,0.3333,0.3333,0.3333,False
2020-11-17,219,0,1,1,0.27226566781550643,0.3333,0.3333,0.3333,False
2020-11-18,220,0,0,0,0.335056065300107,0.3333,0.3333,0.3333,False
